rank,title_cn,title_en,aka,rating,rating_count,quote,director,actors,year,country,genre,detail_url
11,辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单,9.5,1254771,拯救一个人，就是拯救整个世界。,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,Hachi: A Dog's Tale,秋田犬八千(港)  /  忠犬小八(台),9.4,1552356,永远都不能忘记你所爱的人。,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,2009,美国 英国,剧情,https://movie.douban.com/subject/3011091/
13,海上钢琴师,La leggenda del pianista sull'oceano,声光伴我飞(港)  /  一九零零的传奇,9.3,1891497,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,https://movie.douban.com/subject/1292001/
14,疯狂动物城,Zootopia,优兽大都会(港)  /  动物方城市(台),9.3,2340868,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,美国,喜剧 动画 冒险,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,3 Idiots,三个傻瓜(台)  /  作死不离3兄弟(港),9.2,2091932,英俊版憨豆，高情商版谢耳朵。,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,https://movie.douban.com/subject/3793023/
16,机器人总动员,WALL·E,太空奇兵·威E(港)  /  瓦力(台),9.3,1505651,小瓦力，大人生。,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险,https://movie.douban.com/subject/2131459/
17,放牛班的春天,Les choristes,歌声伴我心(港)  /  唱诗班男孩,9.3,1483836,天籁一般的童声，是最接近上帝的存在。,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,https://movie.douban.com/subject/1291549/
18,无间道,無間道,Infernal Affairs  /  Mou gaan dou,9.3,1577746,香港电影史上永不过时的杰作。,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚,https://movie.douban.com/subject/1307914/
19,控方证人,Witness for the Prosecution,雄才伟略  /  情妇,9.6,754211,比利·怀德满分作品。,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑 惊悚,https://movie.douban.com/subject/1296141/
20,寻梦环游记,Coco,玩转极乐园(港)  /  可可夜总会(台),9.1,2010121,死亡不是真的逝去，遗忘才是永恒的消亡。,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017,美国,喜剧 动画 奇幻 音乐,https://movie.douban.com/subject/20495023/
21,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记,9.2,1721517,一生所爱。,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,https://movie.douban.com/subject/1292213/
22,熔炉,도가니,无声呐喊(港)  /  漩涡,9.3,1042023,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,https://movie.douban.com/subject/5912992/
23,触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台),9.3,1306231,满满温情的高雅喜剧。,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,,2011,法国,剧情 喜剧,https://movie.douban.com/subject/6786002/
24,教父,The Godfather,Mario Puzo's The Godfather,9.3,1116505,千万不要记恨你的对手，这样会让你失去理智。,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972,美国,剧情 犯罪,https://movie.douban.com/subject/1291841/
25,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,哈利波特1：神秘的魔法石(港 / 台),9.2,1436054,童话世界的开端。,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险,https://movie.douban.com/subject/1295038/
26,末代皇帝,The Last Emperor,末代皇帝溥仪(港)  /  L'ultimo imperatore,9.3,1037393,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,https://movie.douban.com/subject/1293172/
27,当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐,9.1,1698942,平民励志片。,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,https://movie.douban.com/subject/1849031/
28,龙猫,となりのトトロ,邻居托托罗  /  邻家的豆豆龙,9.2,1420612,人人心中都有个龙猫，童年就永远不会消失。,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1291560/
29,活着,,人生  /  Lifetimes,9.3,978489,张艺谋最好的电影。,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 中国香港,剧情 历史 家庭,https://movie.douban.com/subject/1292365/
30,怦然心动,Flipped,萌动青春  /  青春萌动,9.1,2065129,真正的幸福是来自内心深处。,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情,https://movie.douban.com/subject/3319755/
31,蝙蝠侠：黑暗骑士,The Dark Knight,蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),9.2,1201926,无尽的黑暗。,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,The Lord of the Rings: The Return of the King,魔戒三部曲：王者再临(台 / 港),9.3,917937,史诗的终章。,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 新西兰,剧情 动作 奇幻 冒险,https://movie.douban.com/subject/1291552/
33,我不是药神,,中国药神  /  印度药神,9.0,2365743,对我们国家而言，这样的电影多一部是一部。,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情 喜剧,https://movie.douban.com/subject/26752088/
34,乱世佳人,Gone with the Wind,飘,9.3,803310,Tomorrow is another day.,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,1939,美国,剧情 历史 爱情 战争,https://movie.douban.com/subject/1300267/
35,让子弹飞,,让子弹飞一会儿  /  火烧云,9.0,1933435,你给我翻译翻译，神马叫做TMD的惊喜。,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,https://movie.douban.com/subject/3742360/
36,飞屋环游记,Up,冲天救兵(港)  /  天外奇迹(台),9.1,1512905,最后那些最无聊的事情，才是最值得怀念的。,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009,美国,剧情 喜剧 动画 冒险,https://movie.douban.com/subject/2129039/
37,哈尔的移动城堡,ハウルの動く城,哈尔移动城堡(港)  /  霍尔的移动城堡(台),9.1,1304545,带着心爱的人在天空飞翔。,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,爱情 动画 奇幻 冒险,https://movie.douban.com/subject/1308807/
38,十二怒汉,12 Angry Men,12怒汉  /  十二怒汉,9.4,584768,1957年的理想主义。,西德尼·吕美特 Sidney Lumet,亨利·方达 Henry Fonda / 马丁...,1957,美国,剧情,https://movie.douban.com/subject/1293182/
39,海蒂和爷爷,Heidi,飘零燕(港)  /  海蒂,9.3,793927,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,2015,德国 瑞士,剧情 冒险 家庭,https://movie.douban.com/subject/25958717/
40,素媛,소원,许愿  /  希望：为爱重生(台),9.3,782110,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,https://movie.douban.com/subject/21937452/
41,猫鼠游戏,Catch Me If You Can,逍遥法外  /  捉智双雄(港),9.1,1222834,骗子大师和执著警探的你追我跑故事。,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记 犯罪 剧情,https://movie.douban.com/subject/1305487/
42,天空之城,天空の城ラピュタ,天空之城拉普他  /  空中城堡拉普他,9.2,1016630,对天空的追逐，永不停止。,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1291583/
43,鬼子来了,,Devils on the Doorstep,9.3,721451,对敌人的仁慈，就是对自己残忍。,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 喜剧,https://movie.douban.com/subject/1291858/
44,摔跤吧！爸爸,Dangal,我和我的冠军女儿(台)  /  打死不离3父女(港),9.0,1758190,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 传记 运动 家庭,https://movie.douban.com/subject/26387939/
45,少年派的奇幻漂流,Life of Pi,少年Pi的奇幻漂流  /  漂流少年Pi,9.1,1498883,瑰丽壮观、无人能及的冒险之旅。,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,https://movie.douban.com/subject/1929463/
46,钢琴家,The Pianist,钢琴战曲(港)  /  战地琴人(台),9.3,756502,,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,https://movie.douban.com/subject/1296736/
47,死亡诗社,Dead Poets Society,暴雨骄阳(港)  /  春风化雨(台),9.2,893878,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情,https://movie.douban.com/subject/1291548/
48,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,魔戒二部曲：双城奇谋  /  指环王II：双塔,9.2,864780,承前启后的史诗篇章。,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情 动作 奇幻 冒险,https://movie.douban.com/subject/1291572/
49,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,西游记101回月光宝盒  /  齐天大圣东游记,9.0,1376975,,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,https://movie.douban.com/subject/1299398/
50,绿皮书,Green Book,绿簿旅友(港)  /  幸福绿皮书(台),8.9,1908772,去除成见，需要勇气。,彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,2018,美国 中国大陆,剧情 喜剧 传记 音乐,https://movie.douban.com/subject/27060077/
51,何以为家,كفرناحوم,迦百农  /  星仔打官司(港),9.1,1169289,凝视卑弱生命，用电影改变命运。,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,https://movie.douban.com/subject/30170448/
52,闻香识女人,Scent of a Woman,女人香  /  女人的芳香,9.1,1031426,,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,https://movie.douban.com/subject/1298624/
53,大闹天宫,,大闹天宫 上下集  /  The Monkey King,9.4,514700,,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆),1964(中国大陆),1978(中国大陆),https://movie.douban.com/subject/1418019/
54,黑客帝国,The Matrix,22世纪杀人网络(港)  /  廿二世纪杀人网络(港),9.1,959178,,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,,1999,美国,动作 科幻,https://movie.douban.com/subject/1291843/
55,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,指环王1：魔戒再现  /  指环王I：护戒使者,9.1,968540,,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国 英国,剧情 动作 奇幻 冒险,https://movie.douban.com/subject/1291571/
56,罗马假日,Roman Holiday,金枝玉叶(港)  /  罗马假期(台),9.1,1054957,,威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情,https://movie.douban.com/subject/1293839/
57,教父2,The Godfather: Part II,教父续集(港)  /  教父II,9.3,646560,,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1974,美国,剧情 犯罪,https://movie.douban.com/subject/1299131/
58,狮子王,The Lion King,狮子王3D,9.1,968831,,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,1994,美国,动画 冒险 歌舞,https://movie.douban.com/subject/1301753/
59,天堂电影院,Nuovo Cinema Paradiso,星光伴我心(港)  /  新天堂乐园(台),9.2,746778,,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,1988,意大利 法国,剧情 爱情,https://movie.douban.com/subject/1291828/
60,饮食男女,飲食男女,Eat Drink Man Woman,9.2,733622,,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情 家庭,https://movie.douban.com/subject/1291818/
61,辩护人,변호인,逆权大状(港)  /  正义辩护人(台),9.2,661939,电影的现实意义大过电影本身。,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情,https://movie.douban.com/subject/21937445/
62,本杰明·巴顿奇事,The Curious Case of Benjamin Button,奇幻逆缘(港)  /  班杰明的奇幻旅程(台),9.0,1113393,在时间之河里感受溺水之苦。,大卫·芬奇 David Fincher,布拉德·皮特 Brad Pitt / 凯特·布...,2008,美国,剧情 爱情 奇幻,https://movie.douban.com/subject/1485260/
63,搏击俱乐部,Fight Club,搏击会(港)  /  斗阵俱乐部(台),9.0,986313,,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情 动作 悬疑 惊悚,https://movie.douban.com/subject/1292000/
64,美丽心灵,A Beautiful Mind,有你终生美丽(港)  /  美丽境界(台),9.1,858788,,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 剧情,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,穿条纹衣服的男孩  /  穿条纹衣的男孩,9.2,646857,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情 战争,https://movie.douban.com/subject/3008247/
66,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,哈利波特7：死神的圣物2(港 / 台),9.0,979555,10年的完美句点。,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻 冒险,https://movie.douban.com/subject/3011235/
67,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",够姜四小强(港)  /  两根枪管(台),9.1,684329,,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情 喜剧 犯罪,https://movie.douban.com/subject/1293350/
68,情书,Love Letter,When I Close My Eyes  /  Letters of Love,8.9,1337867,,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情,https://movie.douban.com/subject/1292220/
69,功夫,,功夫3D  /  Kung Fu Hustle,8.9,1354780,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,https://movie.douban.com/subject/1291543/
70,窃听风暴,Das Leben der Anderen,窃听者(港)  /  他人的生活,9.2,636993,别样人生。,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,德国,剧情 悬疑,https://movie.douban.com/subject/1900841/
71,音乐之声,The Sound of Music,仙乐飘飘处处闻(港)  /  真善美(台),9.1,689964,,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 传记 爱情 歌舞,https://movie.douban.com/subject/1294408/
72,哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,哈利波特3：阿兹卡班的逃犯(港 / 台),9.0,900508,不一样的导演，不一样的哈利·波特。,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,2004,英国 美国,奇幻 冒险,https://movie.douban.com/subject/1291544/
73,阿凡达,Avatar,,8.8,1596898,绝对意义上的美轮美奂。,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 科幻 冒险,https://movie.douban.com/subject/1652587/
74,西西里的美丽传说,Malèna,真爱伴我行(台)  /  玛莲娜,8.9,1101051,,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色,https://movie.douban.com/subject/1292402/
75,看不见的客人,Contratiempo,死无对证(港)  /  布局(台),8.8,1453078,你以为你以为的就是你以为的。,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚,https://movie.douban.com/subject/26580232/
76,拯救大兵瑞恩,Saving Private Ryan,雷霆救兵(港)  /  抢救雷恩大兵(台),9.1,732375,,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 战争,https://movie.douban.com/subject/1292849/
77,沉默的羔羊,The Silence of the Lambs,沉默的羔羊,8.9,1025384,,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 犯罪 惊悚,https://movie.douban.com/subject/1293544/
78,小鞋子,بچه های آسمان,天堂的孩子  /  小童鞋,9.2,471887,,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情 儿童 家庭,https://movie.douban.com/subject/1303021/
79,蝴蝶效应,The Butterfly Effect,蝴蝶效应,8.9,1078521,人的命运被自己瞬间的抉择改变。,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,https://movie.douban.com/subject/1292343/
80,布达佩斯大饭店,The Grand Budapest Hotel,布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),8.9,1095316,小清新的故事里注入了大历史的情怀。,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情 喜剧 冒险,https://movie.douban.com/subject/11525673/
81,还有明天,C'è ancora domani,明天还有梦(港)  /  我们还有明天(台),9.3,384219,,宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西 Paola Corte...,2023,意大利,剧情 喜剧 历史,https://movie.douban.com/subject/36445098/
82,飞越疯人院,One Flew Over the Cuckoo's Nest,飞越杜鹃窝(台)  /  飞越喜鹊巢,9.1,610025,,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,https://movie.douban.com/subject/1292224/
83,禁闭岛,Shutter Island,不赦岛(港)  /  隔离岛(台),8.9,1124978,昔日翩翩少年，今日大腹便便。,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 悬疑 惊悚,https://movie.douban.com/subject/2334904/
84,心灵捕手,Good Will Hunting,骄阳似我(港)  /  心灵捕手,9.0,822202,,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情,https://movie.douban.com/subject/1292656/
85,致命魔术,The Prestige,死亡魔法(港)  /  顶尖对决(台),8.9,972453,孪生蝙蝠侠大战克隆金刚狼。,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,2006,英国 美国,剧情 悬疑 惊悚,https://movie.douban.com/subject/1780330/
86,低俗小说,Pulp Fiction,危险人物(港)  /  黑色追缉令(台),8.9,969008,,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,1994,美国,剧情 喜剧 犯罪,https://movie.douban.com/subject/1291832/
87,哈利·波特与密室,Harry Potter and the Chamber of Secrets,哈利波特2：消失的密室(港 / 台),8.9,927362,,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 美国,奇幻 冒险,https://movie.douban.com/subject/1296996/
88,一一,,Yi yi  /  Yi yi: A One and a Two,9.1,522434,,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 日本,剧情 爱情 家庭,https://movie.douban.com/subject/1292434/
89,超脱,Detachment,人间师格(台),9.0,731119,穷尽一生，我们要学会的，不过是彼此拥抱。,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情,https://movie.douban.com/subject/5322596/
90,喜剧之王,喜劇之王,King of Comedy,8.8,1108563,,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,1999,中国香港,喜剧 剧情 爱情,https://movie.douban.com/subject/1302425/
91,致命ID,Identity,杀人游戏  /  致命身份,8.9,961480,,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,2003,美国,剧情 悬疑 惊悚,https://movie.douban.com/subject/1297192/
92,杀人回忆,살인의 추억,谋杀回忆  /  杀手回忆录,8.9,847348,,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,https://movie.douban.com/subject/1300299/
93,摩登时代,Modern Times,The Masses  /  Les Temps modernes,9.3,350918,,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1936,美国,剧情 喜剧 爱情,https://movie.douban.com/subject/1294371/
94,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),8.8,978915,,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,2003,美国,动作 冒险 奇幻,https://movie.douban.com/subject/1298070/
95,春光乍泄,春光乍洩,一起快乐  /  Happy Together,9.0,715156,,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 日本 韩国,剧情 爱情 同性,https://movie.douban.com/subject/1292679/
96,海豚湾,The Cove,血色海湾(台)  /  海湾,9.3,384413,海豚的微笑，是世界上最高明的伪装。,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,2009,美国,纪录片,https://movie.douban.com/subject/3442220/
97,美国往事,Once Upon a Time in America,四海兄弟(台)  /  义薄云天(港),9.1,476917,,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,1984,美国 意大利,犯罪 剧情,https://movie.douban.com/subject/1292262/
98,红辣椒,パプリカ,盗梦侦探(港 / 台),9.0,578330,梦的勾结。,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,动画 悬疑 科幻 惊悚,https://movie.douban.com/subject/1865703/
99,七宗罪,Se7en,火线追缉令(台)  /  7宗罪,8.8,1074411,,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情 犯罪 悬疑 惊悚,https://movie.douban.com/subject/1292223/
